qid,uid,label
722:1,10004:1,
693:1,11884:1,
832:1,17548:1,
292:1,14474:1,
1592:1,11682:1,
46:1,18198:1,
699:1,21601:1,
3071:1,12798:1,
8:1,22593:1,
1217:1,19456:1,
1851:1,9638:1,
2962:1,32486:1,
1600:1,9868:1,
2825:1,20262:1,
1769:1,8434:1,
725:1,14376:1,
716:1,22275:1,
47:1,34806:1,
50:1,28655:1,
933:1,10614:1,
2076:1,14744:1,
4270:1,10920:1,
434:1,12093:1,
2426:1,31824:1,
1630:1,30429:1,
3389:1,15067:1,
1927:1,19572:1,
2374:1,7789:1,
1281:1,11226:1,
3273:1,8318:1,
4544:1,9699:1,
1694:1,14479:1,
1126:1,18020:1,
1556:1,8380:1,
2709:1,11980:1,
762:1,9862:1,
157:1,35186:1,
4809:1,16712:1,
410:1,13466:1,
702:1,20080:1,
5909:1,12215:1,
2637:1,8142:1,
7011:1,31897:1,
1005:1,30923:1,
3861:1,31268:1,
3592:1,25049:1,
6348:1,22333:1,
2632:1,24226:1,
549:1,27634:1,
735:1,11432:1,
2103:1,30774:1,
984:1,24334:1,
985:1,23701:1,
1750:1,10504:1,
3463:1,10140:1,
2042:1,13104:1,
766:1,24712:1,
500:1,9253:1,
1305:1,9035:1,
200:1,19410:1,
1001:1,11667:1,
3741:1,14104:1,
5153:1,9449:1,
656:1,8050:1,
433:1,10028:1,
1022:1,31995:1,
141:1,9130:1,
2424:1,8673:1,
504:1,34544:1,
1497:1,15958:1,
1304:1,10339:1,
1665:1,13859:1,
5113:1,12467:1,
1632:1,22232:1,
5818:1,27634:1,
75:1,11192:1,
4390:1,25982:1,
1404:1,19781:1,
2547:1,8462:1,
732:1,11261:1,
562:1,12078:1,
497:1,16911:1,
290:1,9689:1,
668:1,8133:1,
3146:1,28491:1,
1355:1,17325:1,
410:1,11930:1,
2462:1,18630:1,
3711:1,17179:1,
5036:1,17825:1,
4076:1,10499:1,
4139:1,9444:1,
3307:1,9681:1,
558:1,7923:1,
167:1,11647:1,
1355:1,15937:1,
1131:1,19067:1,
407:1,19588:1,
5492:1,22149:1,
3287:1,10001:1,
1556:1,14625:1,
118:1,18466:1,
3263:1,16648:1,
955:1,10403:1,
161:1,10890:1,
4245:1,8440:1,
989:1,11582:1,
1445:1,18189:1,
130:1,8661:1,
6208:1,8309:1,
2891:1,8401:1,
6644:1,11475:1,
35:1,35308:1,
48:1,7878:1,
1394:1,9548:1,
1359:1,9529:1,
128:1,30745:1,
1501:1,17265:1,
3717:1,35309:1,
19:1,30454:1,
47:1,24676:1,
4179:1,35310:1,
1370:1,14686:1,
1172:1,10007:1,
4232:1,12823:1,
829:1,11288:1,
548:1,21711:1,
1896:1,9145:1,
475:1,7854:1,
7301:1,12132:1,
3920:1,12332:1,
725:1,24213:1,
661:1,7851:1,
3697:1,8656:1,
985:1,10270:1,
6862:1,8266:1,
5332:1,14585:1,
1471:1,9662:1,
3629:1,8882:1,
259:1,25462:1,
3:1,18372:1,
2487:1,9582:1,
2393:1,11699:1,
1234:1,8775:1,
409:1,9018:1,
19:1,29439:1,
745:1,9463:1,
7202:1,10954:1,
1036:1,12325:1,
5007:1,10476:1,
3058:1,25252:1,
158:1,25435:1,
3076:1,9757:1,
1038:1,12441:1,
1166:1,10051:1,
2231:1,18977:1,
2875:1,12381:1,
2043:1,18381:1,
2280:1,16172:1,
1614:1,11708:1,
6408:1,10325:1,
1097:1,27593:1,
1516:1,11845:1,
79:1,8342:1,
354:1,33251:1,
677:1,17835:1,
1375:1,29230:1,
2803:1,11225:1,
946:1,11550:1,
5496:1,26510:1,
274:1,16194:1,
2967:1,14611:1,
538:1,21964:1,
147:1,24498:1,
435:1,8385:1,
3447:1,12884:1,
294:1,12323:1,
1744:1,16135:1,
1189:1,26619:1,
862:1,13046:1,
358:1,23224:1,
6341:1,8238:1,
556:1,23006:1,
575:1,13506:1,
157:1,20932:1,
614:1,11682:1,
330:1,20889:1,
3461:1,13304:1,
865:1,18404:1,
2461:1,7849:1,
1910:1,11797:1,
1633:1,13638:1,
126:1,11898:1,
2178:1,13041:1,
353:1,11594:1,
2213:1,12345:1,
149:1,9575:1,
4697:1,17178:1,
1749:1,9063:1,
176:1,33807:1,
36:1,8570:1,
3641:1,11898:1,
279:1,9498:1,
3544:1,34669:1,
2912:1,15957:1,
783:1,13757:1,
3092:1,12362:1,
2608:1,11113:1,
5404:1,26186:1,
3945:1,8170:1,
65:1,32932:1,
791:1,8433:1,
46:1,9503:1,
1178:1,16674:1,
294:1,8715:1,
888:1,22113:1,
1325:1,24462:1,
9:1,14033:1,
667:1,8277:1,
1818:1,12337:1,
342:1,10486:1,
493:1,8384:1,
1158:1,12443:1,
493:1,11232:1,
777:1,8058:1,
529:1,21255:1,
4598:1,28062:1,
48:1,21674:1,
5391:1,29988:1,
1493:1,9586:1,
3790:1,12815:1,
744:1,21002:1,
4012:1,15569:1,
4313:1,12072:1,
916:1,9995:1,
4207:1,9978:1,
2109:1,11024:1,
690:1,8882:1,
1038:1,17131:1,
2230:1,22498:1,
1765:1,18182:1,
3071:1,11221:1,
182:1,13972:1,
1016:1,15407:1,
872:1,13575:1,
2184:1,17731:1,
500:1,14478:1,
2120:1,28565:1,
410:1,14067:1,
1067:1,17815:1,
964:1,21564:1,
79:1,14320:1,
3644:1,11272:1,
448:1,8872:1,
2170:1,9333:1,
6234:1,9408:1,
368:1,15172:1,
668:1,9170:1,
2393:1,8454:1,
227:1,24986:1,
716:1,9160:1,
2098:1,8877:1,
435:1,12931:1,
809:1,31369:1,
1968:1,14148:1,
785:1,9047:1,
6872:1,18004:1,
62:1,12119:1,
1162:1,14313:1,
826:1,14098:1,
1617:1,31798:1,
4874:1,17459:1,
574:1,28038:1,
3313:1,13744:1,
2756:1,19660:1,
887:1,10156:1,
63:1,17488:1,
2356:1,33914:1,
109:1,14696:1,
50:1,19257:1,
585:1,12955:1,
1497:1,10607:1,
176:1,21789:1,
2832:1,10191:1,
96:1,10433:1,
752:1,31289:1,
3418:1,25433:1,
520:1,11860:1,
4265:1,11257:1,
3533:1,10903:1,
3517:1,11699:1,
2939:1,24432:1,
4506:1,23458:1,
259:1,13801:1,
470:1,15504:1,
1027:1,10507:1,
842:1,13242:1,
1363:1,9129:1,
783:1,16367:1,
662:1,19635:1,
947:1,8756:1,
794:1,9581:1,
1132:1,22342:1,
1337:1,9657:1,
264:1,9816:1,
3731:1,19830:1,
1447:1,27662:1,
4197:1,23259:1,
4556:1,10291:1,
560:1,16290:1,
4190:1,25662:1,
537:1,13582:1,
4246:1,11882:1,
3178:1,22805:1,
2178:1,19369:1,
1695:1,8695:1,
1820:1,33281:1,
2413:1,13338:1,
2950:1,23461:1,
840:1,18239:1,
3845:1,12040:1,
3447:1,11020:1,
4451:1,7801:1,
632:1,16142:1,
1306:1,18865:1,
1461:1,9232:1,
1159:1,20627:1,
726:1,19275:1,
1978:1,29746:1,
109:1,15850:1,
8:1,11003:1,
640:1,16305:1,
6888:1,16519:1,
2596:1,10710:1,
176:1,13416:1,
102:1,9353:1,
899:1,10390:1,
1442:1,20709:1,
1391:1,16388:1,
3877:1,17386:1,
4115:1,23731:1,
14:1,8047:1,
1138:1,19594:1,
182:1,13868:1,
228:1,11989:1,
4821:1,20881:1,
2210:1,9522:1,
433:1,8008:1,
86:1,17200:1,
1382:1,9801:1,
828:1,11188:1,
5334:1,14119:1,
3391:1,20935:1,
4980:1,10417:1,
977:1,23270:1,
3873:1,9195:1,
1468:1,19427:1,
1355:1,23790:1,
1978:1,29471:1,
2886:1,11353:1,
1655:1,10230:1,
694:1,13085:1,
1717:1,13999:1,
3307:1,11043:1,
115:1,11910:1,
3921:1,14291:1,
1029:1,11378:1,
943:1,13109:1,
1129:1,9161:1,
322:1,19491:1,
474:1,24970:1,
334:1,28640:1,
1924:1,18565:1,
1474:1,11275:1,
5330:1,27790:1,
3783:1,27076:1,
414:1,10959:1,
4964:1,12291:1,
4831:1,16505:1,
2426:1,35311:1,
3568:1,29972:1,
2213:1,11435:1,
611:1,11060:1,
809:1,35312:1,
343:1,12723:1,
770:1,9928:1,
2099:1,35313:1,
1183:1,19718:1,
1382:1,20136:1,
4449:1,7846:1,
2284:1,14236:1,
4786:1,20279:1,
840:1,10805:1,
310:1,15484:1,
296:1,10641:1,
1210:1,14652:1,
3897:1,14328:1,
1076:1,7964:1,
545:1,14881:1,
1605:1,9379:1,
612:1,9106:1,
5382:1,15269:1,
435:1,11304:1,
379:1,31283:1,
38:1,22655:1,
3229:1,9770:1,
2230:1,9771:1,
4491:1,25314:1,
3478:1,26274:1,
1569:1,17461:1,
1810:1,35314:1,
76:1,28079:1,
1387:1,14498:1,
2088:1,9649:1,
2405:1,17870:1,
6519:1,15641:1,
525:1,18694:1,
294:1,14354:1,
31:1,8448:1,
1050:1,20696:1,
141:1,15533:1,
4895:1,17484:1,
1080:1,13619:1,
2082:1,8496:1,
1872:1,8814:1,
58:1,12834:1,
702:1,22456:1,
500:1,11160:1,
1308:1,17484:1,
1355:1,13669:1,
3430:1,14953:1,
4519:1,13337:1,
3263:1,13381:1,
103:1,9514:1,
2698:1,15704:1,
6056:1,8646:1,
4313:1,13637:1,
130:1,10584:1,
470:1,9864:1,
2249:1,8580:1,
292:1,11621:1,
3433:1,12809:1,
71:1,10390:1,
2858:1,12513:1,
4263:1,16172:1,
969:1,17185:1,
515:1,22120:1,
2241:1,19692:1,
352:1,28802:1,
1923:1,35315:1,
1072:1,10582:1,
1056:1,11857:1,
453:1,8808:1,
1210:1,19608:1,
914:1,7891:1,
4191:1,9460:1,
4862:1,15800:1,
208:1,13096:1,
2047:1,13995:1,
3141:1,14503:1,
634:1,9695:1,
556:1,19281:1,
3601:1,35316:1,
127:1,14490:1,
471:1,27994:1,
3534:1,23106:1,
1065:1,15222:1,
4709:1,19349:1,
1773:1,35317:1,
3205:1,35318:1,
508:1,9429:1,
2021:1,16124:1,
4368:1,29225:1,
690:1,10555:1,
74:1,10875:1,
5710:1,13804:1,
513:1,34985:1,
1037:1,10275:1,
189:1,8490:1,
3736:1,17789:1,
3320:1,9649:1,
6042:1,23589:1,
1930:1,8775:1,
163:1,17104:1,
1435:1,9219:1,
357:1,18881:1,
876:1,12366:1,
2149:1,29793:1,
2283:1,14588:1,
5683:1,11655:1,
894:1,32817:1,
1587:1,10117:1,
1137:1,8096:1,
4619:1,10299:1,
6586:1,19708:1,
1910:1,14037:1,
3686:1,35319:1,
3070:1,12356:1,
7026:1,14462:1,
121:1,30846:1,
699:1,17543:1,
1756:1,12863:1,
38:1,35320:1,
2405:1,25340:1,
2884:1,26140:1,
2607:1,32879:1,
6308:1,16648:1,
410:1,11014:1,
5476:1,12580:1,
1036:1,9754:1,
2562:1,15465:1,
1652:1,8021:1,
885:1,13152:1,
1050:1,25633:1,
51:1,14862:1,
2780:1,12120:1,
794:1,15893:1,
3130:1,22295:1,
153:1,11687:1,
139:1,9224:1,
6335:1,14116:1,
3755:1,32191:1,
71:1,11790:1,
5767:1,9907:1,
1132:1,20481:1,
451:1,23500:1,
142:1,9032:1,
851:1,10314:1,
1545:1,14429:1,
348:1,18301:1,
1391:1,12012:1,
506:1,25287:1,
5487:1,10174:1,
2547:1,8775:1,
202:1,8309:1,
1923:1,33378:1,
1157:1,12552:1,
5593:1,18371:1,
6380:1,19597:1,
2206:1,7952:1,
821:1,18414:1,
59:1,15190:1,
1891:1,9977:1,
1180:1,8812:1,
4902:1,9356:1,
3938:1,15684:1,
1021:1,14690:1,
242:1,9223:1,
556:1,17132:1,
364:1,10896:1,
1029:1,8385:1,
36:1,8532:1,
3808:1,10218:1,
190:1,10450:1,
796:1,20326:1,
675:1,12636:1,
533:1,11427:1,
3411:1,10043:1,
1371:1,22047:1,
2211:1,31041:1,
826:1,20116:1,
467:1,8157:1,
8:1,26708:1,
2601:1,35321:1,
368:1,21197:1,
4469:1,9862:1,
558:1,20455:1,
3791:1,12850:1,
3713:1,23259:1,
3923:1,17086:1,
3526:1,8673:1,
47:1,25288:1,
1909:1,35322:1,
969:1,15223:1,
3810:1,11932:1,
48:1,8078:1,
656:1,8178:1,
251:1,8993:1,
1141:1,29307:1,
1206:1,16717:1,
4218:1,20756:1,
836:1,23102:1,
1528:1,21307:1,
89:1,17342:1,
4626:1,19305:1,
1050:1,23986:1,
2554:1,8748:1,
5838:1,16952:1,
2314:1,26966:1,
749:1,15105:1,
3412:1,7873:1,
946:1,25463:1,
2645:1,26713:1,
1005:1,18295:1,
1348:1,13404:1,
5283:1,20912:1,
167:1,10866:1,
1220:1,16765:1,
1141:1,17838:1,
634:1,28538:1,
5070:1,12128:1,
464:1,20594:1,
110:1,15034:1,
1036:1,17956:1,
2426:1,22907:1,
3696:1,12857:1,
5869:1,23104:1,
1602:1,35323:1,
725:1,21251:1,
2926:1,21032:1,
506:1,13567:1,
3:1,10099:1,
6126:1,10494:1,
1033:1,9935:1,
35:1,35324:1,
75:1,8194:1,
2596:1,9351:1,
3629:1,10882:1,
228:1,13715:1,
5432:1,11217:1,
8:1,10013:1,
714:1,23999:1,
3715:1,9277:1,
1732:1,25504:1,
1138:1,9024:1,
625:1,10202:1,
1064:1,18053:1,
439:1,18322:1,
4753:1,18505:1,
721:1,14469:1,
2711:1,16495:1,
416:1,10437:1,
1197:1,12546:1,
601:1,10803:1,
4220:1,17484:1,
2010:1,35157:1,
8:1,10291:1,
41:1,10888:1,
791:1,12464:1,
1304:1,13842:1,
1822:1,11782:1,
1268:1,10658:1,
59:1,22644:1,
1111:1,12219:1,
2214:1,22326:1,
3605:1,20724:1,
427:1,14401:1,
2168:1,11974:1,
6348:1,20596:1,
5390:1,11759:1,
2847:1,22861:1,
3047:1,15105:1,
2307:1,25957:1,
90:1,10895:1,
326:1,29272:1,
1665:1,8850:1,
5556:1,13993:1,
7147:1,31945:1,
6432:1,12694:1,
1763:1,12711:1,
1111:1,19361:1,
1975:1,22058:1,
4686:1,26161:1,
2616:1,12568:1,
5516:1,8972:1,
3302:1,13097:1,
305:1,10562:1,
1361:1,12803:1,
6:1,8988:1,
284:1,9769:1,
1767:1,9422:1,
5630:1,8528:1,
127:1,18454:1,
2213:1,14705:1,
1156:1,7789:1,
3697:1,8908:1,
8:1,16265:1,
2544:1,17898:1,
7410:1,19873:1,
62:1,8994:1,
1672:1,18542:1,
1929:1,26711:1,
4301:1,14104:1,
643:1,7848:1,
501:1,14503:1,
8:1,8517:1,
1355:1,8918:1,
2992:1,9781:1,
1614:1,23475:1,
645:1,10293:1,
775:1,8961:1,
222:1,8490:1,
2129:1,12371:1,
5105:1,12139:1,
1818:1,11620:1,
3294:1,12440:1,
2302:1,13070:1,
1009:1,8874:1,
2057:1,14598:1,
190:1,8224:1,
3612:1,23812:1,
4678:1,14305:1,
620:1,12702:1,
4293:1,14746:1,
109:1,22335:1,
11:1,8261:1,
1161:1,26112:1,
176:1,11737:1,
2926:1,35325:1,
3047:1,17281:1,
165:1,9075:1,
529:1,19288:1,
309:1,18629:1,
2581:1,23762:1,
474:1,21399:1,
725:1,17884:1,
1264:1,24824:1,
6203:1,16641:1,
461:1,11160:1,
1210:1,11881:1,
2655:1,26314:1,
580:1,8511:1,
6513:1,29868:1,
1101:1,29933:1,
69:1,17736:1,
13:1,9677:1,
845:1,18707:1,
1929:1,8880:1,
172:1,22319:1,
2458:1,35326:1,
460:1,21967:1,
14:1,23993:1,
192:1,18609:1,
5510:1,18611:1,
1013:1,9834:1,
1149:1,13878:1,
508:1,12931:1,
2020:1,7882:1,
296:1,11292:1,
3065:1,9661:1,
653:1,13919:1,
326:1,12517:1,
4436:1,9505:1,
2868:1,34209:1,
4910:1,11647:1,
491:1,22817:1,
259:1,30728:1,
1189:1,22333:1,
218:1,9887:1,
50:1,13732:1,
393:1,11668:1,
1068:1,10031:1,
6485:1,19608:1,
6475:1,13159:1,
1390:1,19372:1,
3175:1,13352:1,
794:1,8098:1,
1175:1,10952:1,
4890:1,10288:1,
4222:1,26310:1,
6571:1,35327:1,
656:1,12312:1,
64:1,21388:1,
366:1,9741:1,
5011:1,11435:1,
427:1,15106:1,
5118:1,12217:1,
1296:1,10517:1,
407:1,15058:1,
8:1,13697:1,
5142:1,22972:1,
3306:1,10329:1,
2057:1,8729:1,
105:1,14038:1,
1241:1,12052:1,
1039:1,25038:1,
512:1,12684:1,
348:1,7925:1,
149:1,9018:1,
2609:1,13259:1,
1901:1,30641:1,
567:1,10940:1,
6094:1,17731:1,
3:1,9312:1,
884:1,7882:1,
347:1,13181:1,
2755:1,23070:1,
5461:1,35328:1,
840:1,13695:1,
2787:1,8868:1,
1048:1,16497:1,
4056:1,16866:1,
2287:1,13815:1,
568:1,9132:1,
1031:1,8021:1,
888:1,12025:1,
251:1,8890:1,
1028:1,11356:1,
6409:1,22328:1,
173:1,13727:1,
362:1,7798:1,
1711:1,19232:1,
8:1,35329:1,
521:1,12136:1,
1001:1,10748:1,
738:1,9869:1,
3620:1,10754:1,
6432:1,9649:1,
2659:1,15775:1,
25:1,11985:1,
3684:1,12431:1,
1351:1,19332:1,
1083:1,20096:1,
4490:1,16947:1,
762:1,12151:1,
2487:1,7809:1,
5472:1,13996:1,
702:1,29952:1,
107:1,13272:1,
451:1,16710:1,
7270:1,8596:1,
4220:1,10582:1,
713:1,8500:1,
6409:1,10850:1,
4642:1,8565:1,
2980:1,14515:1,
594:1,13340:1,
6895:1,10390:1,
4384:1,23947:1,
1000:1,7792:1,
4671:1,8736:1,
2021:1,8295:1,
3993:1,14932:1,
2769:1,11366:1,
1550:1,12543:1,
417:1,23167:1,
909:1,20905:1,
227:1,14943:1,
209:1,17608:1,
6046:1,8982:1,
34:1,23282:1,
1892:1,18267:1,
3219:1,15030:1,
250:1,14551:1,
937:1,13839:1,
862:1,13281:1,
3358:1,17923:1,
1358:1,17472:1,
726:1,23997:1,
543:1,11484:1,
2234:1,11492:1,
1875:1,35330:1,
799:1,8268:1,
4351:1,10975:1,
5269:1,15329:1,
3441:1,13362:1,
4399:1,15040:1,
322:1,25354:1,
3457:1,26446:1,
842:1,14071:1,
1685:1,11126:1,
1005:1,24244:1,
4052:1,16093:1,
1995:1,8573:1,
4164:1,12262:1,
90:1,35331:1,
537:1,14282:1,
389:1,35332:1,
3535:1,15375:1,
1619:1,18693:1,
7745:1,24345:1,
142:1,18710:1,
769:1,29716:1,
480:1,11219:1,
258:1,10913:1,
1036:1,10982:1,
4044:1,12208:1,
1144:1,16321:1,
2719:1,18152:1,
29:1,13879:1,
692:1,8721:1,
1068:1,7979:1,
3001:1,13483:1,
2154:1,9250:1,
44:1,8830:1,
4244:1,25593:1,
141:1,11062:1,
4085:1,12510:1,
5025:1,13896:1,
504:1,7810:1,
448:1,14866:1,
3690:1,9649:1,
2488:1,11177:1,
1259:1,8268:1,
410:1,16685:1,
622:1,11472:1,
1875:1,8430:1,
3150:1,9026:1,
881:1,21982:1,
1005:1,18947:1,
7041:1,20438:1,
3086:1,16012:1,
185:1,13353:1,
2558:1,9386:1,
106:1,16283:1,
786:1,10249:1,
5337:1,9307:1,
1224:1,24501:1,
5978:1,12016:1,
683:1,7979:1,
103:1,8562:1,
2347:1,12168:1,
475:1,17536:1,
393:1,9606:1,
4547:1,13505:1,
1982:1,28734:1,
2670:1,14532:1,
1019:1,11192:1,
938:1,23443:1,
3805:1,9170:1,
770:1,20463:1,
4637:1,15365:1,
208:1,31970:1,
1170:1,20238:1,
2766:1,30579:1,
4759:1,10699:1,
1683:1,13606:1,
2014:1,10875:1,
176:1,10254:1,
2223:1,10028:1,
13:1,14945:1,
4606:1,25810:1,
4983:1,11685:1,
2282:1,16131:1,
5046:1,20610:1,
1494:1,15957:1,
160:1,22625:1,
367:1,22229:1,
1156:1,13316:1,
2259:1,23174:1,
1101:1,18994:1,
1781:1,23148:1,
1413:1,24388:1,
215:1,9942:1,
3673:1,20493:1,
1969:1,8030:1,
1273:1,8514:1,
628:1,23365:1,
3811:1,13679:1,
5576:1,8785:1,
2168:1,14295:1,
373:1,8694:1,
1345:1,17079:1,
504:1,13601:1,
2418:1,13933:1,
4791:1,12092:1,
856:1,9936:1,
5405:1,8462:1,
733:1,12059:1,
2122:1,10133:1,
524:1,11216:1,
1923:1,28402:1,
296:1,8307:1,
292:1,20516:1,
3880:1,17540:1,
904:1,29544:1,
896:1,13189:1,
2400:1,22165:1,
7000:1,15946:1,
8:1,16467:1,
11:1,9018:1,
190:1,8661:1,
5884:1,16823:1,
40:1,10757:1,
3136:1,15887:1,
4219:1,29233:1,
4060:1,25798:1,
1175:1,8482:1,
4008:1,8732:1,
1913:1,11638:1,
1923:1,22452:1,
2044:1,8694:1,
2374:1,12291:1,
149:1,17794:1,
91:1,27207:1,
123:1,20186:1,
31:1,9527:1,
2213:1,10087:1,
82:1,19873:1,
130:1,9986:1,
2804:1,7991:1,
2188:1,20390:1,
2284:1,25861:1,
2062:1,13689:1,
6377:1,13094:1,
1391:1,11810:1,
2644:1,12157:1,
1212:1,35333:1,
324:1,13386:1,
2950:1,21767:1,
779:1,18485:1,
1282:1,10261:1,
4912:1,11308:1,
1236:1,14121:1,
29:1,13725:1,
2011:1,10542:1,
1008:1,35334:1,
2599:1,10741:1,
4713:1,12343:1,
4664:1,11516:1,
5688:1,13635:1,
1350:1,8714:1,
3105:1,9553:1,
796:1,10193:1,
3884:1,17344:1,
3074:1,10011:1,
1281:1,22247:1,
2098:1,11327:1,
1730:1,8856:1,
5140:1,27826:1,
3322:1,9526:1,
1710:1,8388:1,
693:1,14008:1,
81:1,7844:1,
5600:1,8233:1,
937:1,10022:1,
69:1,13468:1,
159:1,16556:1,
1355:1,13741:1,
3345:1,28524:1,
2170:1,18331:1,
103:1,11539:1,
1227:1,10377:1,
506:1,12755:1,
1020:1,13270:1,
3363:1,9656:1,
364:1,7951:1,
481:1,14218:1,
991:1,28230:1,
666:1,9777:1,
745:1,14344:1,
65:1,23583:1,
3594:1,13116:1,
4817:1,10044:1,
2093:1,8885:1,
766:1,32438:1,
4822:1,12926:1,
251:1,15693:1,
969:1,29199:1,
1221:1,10754:1,
2664:1,17971:1,
3959:1,9835:1,
153:1,14428:1,
1475:1,21257:1,
875:1,11069:1,
4362:1,13484:1,
1282:1,22018:1,
294:1,10847:1,
866:1,16730:1,
5017:1,11841:1,
5381:1,10849:1,
1446:1,8253:1,
354:1,18948:1,
3164:1,12996:1,
3460:1,11122:1,
533:1,16096:1,
780:1,18946:1,
4263:1,16249:1,
1197:1,12733:1,
5638:1,10632:1,
1904:1,11184:1,
2576:1,14069:1,
1580:1,10909:1,
1542:1,11468:1,
2045:1,10759:1,
5107:1,11678:1,
1844:1,29333:1,
176:1,11914:1,
790:1,12966:1,
461:1,14033:1,
7746:1,11242:1,
1197:1,17094:1,
1138:1,15530:1,
3861:1,17366:1,
587:1,35335:1,
3533:1,14073:1,
2287:1,13140:1,
1557:1,8690:1,
1549:1,35336:1,
337:1,11279:1,
40:1,12788:1,
3834:1,17506:1,
4713:1,13930:1,
91:1,20549:1,
72:1,23565:1,
238:1,32870:1,
2080:1,13378:1,
5721:1,13336:1,
294:1,10991:1,
460:1,12762:1,
3885:1,17207:1,
748:1,19510:1,
36:1,8946:1,
1109:1,13164:1,
1762:1,18862:1,
560:1,16703:1,
2793:1,11177:1,
1748:1,16046:1,
1314:1,32261:1,
196:1,8459:1,
215:1,20430:1,
1231:1,8507:1,
1745:1,35337:1,
1366:1,9364:1,
439:1,11348:1,
2618:1,9556:1,
32:1,8294:1,
348:1,15117:1,
694:1,10290:1,
6208:1,12351:1,
4646:1,16472:1,
1480:1,17948:1,
1683:1,21525:1,
4946:1,17230:1,
107:1,18533:1,
2581:1,18456:1,
2955:1,24189:1,
907:1,8951:1,
732:1,11244:1,
4618:1,14501:1,
4512:1,9148:1,
47:1,27386:1,
1286:1,20368:1,
3480:1,33939:1,
5668:1,11225:1,
44:1,11797:1,
238:1,27381:1,
209:1,19682:1,
2741:1,22128:1,
792:1,12800:1,
166:1,11480:1,
656:1,12782:1,
460:1,21263:1,
2458:1,35338:1,
4576:1,16928:1,
1337:1,8600:1,
410:1,11396:1,
16:1,8993:1,
1119:1,13679:1,
2603:1,9840:1,
6158:1,35339:1,
590:1,11322:1,
5776:1,18093:1,
2941:1,9232:1,
368:1,18506:1,
428:1,13114:1,
2195:1,22108:1,
580:1,26877:1,
4647:1,10124:1,
1005:1,19891:1,
3205:1,30930:1,
2484:1,9647:1,
1091:1,25940:1,
108:1,14354:1,
471:1,21352:1,
862:1,8426:1,
489:1,26256:1,
1984:1,16328:1,
792:1,14018:1,
4568:1,12917:1,
376:1,8852:1,
1750:1,10390:1,
633:1,14733:1,
7370:1,10459:1,
44:1,24319:1,
2713:1,12195:1,
727:1,15047:1,
975:1,20120:1,
69:1,14555:1,
209:1,12641:1,
4550:1,11510:1,
368:1,9940:1,
1461:1,8706:1,
4838:1,19543:1,
1129:1,16600:1,
2593:1,22326:1,
2963:1,15670:1,
3802:1,17503:1,
1440:1,8520:1,
436:1,32775:1,
423:1,23978:1,
497:1,8133:1,
153:1,23668:1,
519:1,10593:1,
4221:1,27213:1,
5265:1,8932:1,
5127:1,31102:1,
103:1,30417:1,
3709:1,16551:1,
3411:1,7811:1,
388:1,13857:1,
6151:1,18064:1,
284:1,10113:1,
3026:1,27873:1,
1370:1,8395:1,
909:1,18174:1,
5568:1,9650:1,
50:1,32859:1,
4427:1,9665:1,
6427:1,11822:1,
1750:1,10397:1,
294:1,10739:1,
152:1,7830:1,
1138:1,14783:1,
64:1,13832:1,
1257:1,28685:1,
330:1,16025:1,
67:1,35340:1,
56:1,18358:1,
410:1,20159:1,
571:1,13094:1,
238:1,28606:1,
2002:1,13637:1,
1782:1,35189:1,
2214:1,10161:1,
1002:1,33325:1,
82:1,26544:1,
137:1,15815:1,
4701:1,15006:1,
460:1,12720:1,
1858:1,8960:1,
1430:1,12442:1,
634:1,13419:1,
82:1,28229:1,
17:1,8098:1,
2353:1,13725:1,
6737:1,9953:1,
358:1,18903:1,
880:1,17382:1,
5802:1,10624:1,
3177:1,12779:1,
254:1,35341:1,
5231:1,8673:1,
556:1,13258:1,
1952:1,16628:1,
2045:1,10214:1,
805:1,17883:1,
2042:1,13178:1,
3785:1,14168:1,
1750:1,13823:1,
1241:1,16403:1,
50:1,12667:1,
3269:1,9780:1,
1807:1,15872:1,
4565:1,27470:1,
70:1,11766:1,
196:1,10120:1,
272:1,8347:1,
5660:1,16218:1,
4452:1,16916:1,
4716:1,8212:1,
2702:1,8667:1,
597:1,18666:1,
1134:1,22608:1,
2024:1,14855:1,
1454:1,16417:1,
5969:1,21898:1,
538:1,23270:1,
19:1,33111:1,
2477:1,12454:1,
3680:1,19637:1,
1009:1,9076:1,
1924:1,17466:1,
293:1,9620:1,
2847:1,24495:1,
2405:1,35342:1,
933:1,14124:1,
885:1,17344:1,
1897:1,16367:1,
521:1,10650:1,
335:1,12223:1,
2745:1,12366:1,
1311:1,9273:1,
941:1,16950:1,
2967:1,11195:1,
708:1,9652:1,
2883:1,19362:1,
3953:1,25434:1,
690:1,27814:1,
4982:1,15149:1,
2960:1,9469:1,
3266:1,9922:1,
640:1,16332:1,
169:1,21459:1,
1769:1,26413:1,
3440:1,14615:1,
840:1,26111:1,
2700:1,29288:1,
736:1,9308:1,
2636:1,14100:1,
943:1,15043:1,
1505:1,9977:1,
410:1,8185:1,
4462:1,12581:1,
251:1,8705:1,
3266:1,12760:1,
47:1,32089:1,
469:1,13786:1,
943:1,9349:1,
4048:1,11592:1,
705:1,10950:1,
3203:1,13394:1,
2537:1,22563:1,
3274:1,34184:1,
2480:1,15521:1,
3628:1,10887:1,
1712:1,11648:1,
5312:1,9710:1,
2994:1,20900:1,
1682:1,15539:1,
